                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83872,                0.49173,                0.91905,                0.60651,                0.43085,                0.44852,                0.32492,                 1.0858,                 1.8417,                 1.0962,              0.0001577,              0.0001577,              0.0001577
                     36,                0.83661,                0.48469,                0.91304,                0.55093,                0.46682,                0.46695,                0.34675,                  1.068,                 1.9303,                 1.0968,             0.00014869,             0.00014869,             0.00014869
                     37,                0.83386,                0.48166,                0.90839,                0.60397,                0.41778,                0.44364,                 0.3247,                 1.0647,                  1.992,                 1.0901,             0.00013969,             0.00013969,             0.00013969
                     38,                0.83135,                0.48109,                 0.9154,                 0.6378,                0.40741,                0.47173,                0.34338,                 1.0697,                 1.8814,                 1.0866,             0.00013068,             0.00013068,             0.00013068
                     39,                0.81664,                0.47795,                0.90647,                0.57845,                0.45538,                0.45042,                0.32557,                 1.0619,                 1.9465,                 1.0898,             0.00012167,             0.00012167,             0.00012167
                     40,                0.81735,                0.47055,                0.90541,                0.59266,                0.43798,                0.44297,                0.32529,                 1.0635,                 1.9992,                 1.0774,             0.00011266,             0.00011266,             0.00011266
                     41,                0.77319,                0.42719,                0.88152,                0.56809,                0.46115,                0.44447,                0.33014,                  1.035,                 2.0002,                 1.0667,             0.00010365,             0.00010365,             0.00010365
                     42,                0.77768,                0.41559,                0.87558,                0.51536,                0.49824,                0.45478,                 0.3251,                 1.0746,                 1.9521,                 1.0866,              9.464e-05,              9.464e-05,              9.464e-05
                     43,                0.76155,                0.40729,                0.87619,                0.61678,                  0.406,                0.44639,                0.31271,                 1.0726,                 1.9675,                 1.0927,             8.5631e-05,             8.5631e-05,             8.5631e-05
                     44,                0.75798,                0.40509,                0.87211,                0.53464,                0.44883,                0.46221,                0.32946,                  1.048,                 1.9239,                 1.0841,             7.6622e-05,             7.6622e-05,             7.6622e-05
                     45,                0.75001,                0.39699,                0.86893,                0.56839,                0.41092,                0.44983,                0.32129,                 1.0549,                 1.9573,                  1.094,             6.7613e-05,             6.7613e-05,             6.7613e-05
                     46,                 0.7322,                0.39068,                0.86314,                0.63306,                0.37007,                0.43904,                0.32033,                 1.0356,                 1.9126,                 1.0805,             5.8604e-05,             5.8604e-05,             5.8604e-05
                     47,                0.73196,                0.38224,                0.86303,                0.60532,                0.39876,                0.43231,                 0.3097,                 1.0668,                 1.9851,                 1.0957,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     48,                0.72193,                0.38008,                0.85516,                0.51812,                0.50024,                0.44266,                0.31878,                 1.0582,                 1.9692,                 1.0766,             4.0586e-05,             4.0586e-05,             4.0586e-05
                     49,                0.72375,                 0.3746,                0.85634,                0.51582,                0.48672,                0.44121,                0.31816,                 1.0623,                 2.0122,                 1.0788,             3.1577e-05,             3.1577e-05,             3.1577e-05
                     50,                0.71378,                0.37457,                0.85961,                 0.5087,                0.50219,                0.43904,                0.31864,                 1.0523,                 1.9886,                 1.0825,             2.2568e-05,             2.2568e-05,             2.2568e-05
                      1,                  1.353,                 2.9478,                 1.1331,                0.54886,                 0.2715,                0.22339,                0.14433,                 1.0946,                 3.1474,                 1.1103,              0.0001514,              0.0001514,              0.0001514
                      2,                 1.2338,                  1.451,                 1.0797,                0.52097,                 0.2837,                0.28157,                0.16712,                 1.3063,                 2.6185,                 1.2622,             0.00029707,             0.00029707,             0.00029707
                      3,                 1.2068,                 1.2283,                 1.0775,                0.37632,                0.29635,                 0.3016,                0.18256,                 1.2586,                 2.6576,                 1.2213,             0.00043673,             0.00043673,             0.00043673
                      4,                 1.2038,                 1.1424,                 1.0712,                0.51645,                0.30839,                0.36708,                0.25751,                  1.147,                 2.4408,                 1.1436,             0.00042797,             0.00042797,             0.00042797
                      5,                  1.165,                 1.0359,                 1.0561,                0.43254,                0.39436,                0.38117,                0.26515,                 1.1399,                 2.1763,                 1.1377,             0.00042797,             0.00042797,             0.00042797
                      6,                 1.1641,                 1.0199,                  1.062,                 0.4345,                0.34972,                 0.3322,                0.22583,                 1.1793,                 2.2931,                 1.1329,             0.00041896,             0.00041896,             0.00041896
                      7,                  1.113,                0.92422,                 1.0229,                0.51139,                0.34122,                 0.3751,                 0.2404,                 1.2852,                 2.1616,                 1.2291,             0.00040995,             0.00040995,             0.00040995
