epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4118.93,1.36729,3.01786,1.13408,0.64671,0.2409,0.27863,0.18089,1.21205,3.17215,1.20971,0.000151404,0.000151404,0.000151404
2,8280.03,1.22872,1.53837,1.08472,0.72907,0.23125,0.35704,0.20331,1.29644,2.88314,1.2353,0.00029707,0.00029707,0.00029707
